datetime,temp,humidity,windspeed,cloudcover,solarradiation
2023-01-01T00:00:00,15.1,57.46,36.9,100,0
2023-01-01T01:00:00,14.6,59.62,33.4,90.3,0
2023-01-01T02:00:00,14.5,58.86,30.8,100,0
2023-01-01T03:00:00,14.6,59.21,31.6,100,0
2023-01-01T04:00:00,14.3,61.62,28.9,100,0
2023-01-01T05:00:00,14,65.56,29.5,99.7,0
2023-01-01T06:00:00,12.8,74.32,23.1,99.7,0
2023-01-01T07:00:00,11.9,83.06,16.4,100,1
2023-01-01T08:00:00,11.3,88.09,14.1,90.3,0
2023-01-01T09:00:00,11.4,87.08,15.6,90.3,5
2023-01-01T10:00:00,12.6,79.02,24.2,59.3,22
2023-01-01T11:00:00,12.3,80.1,21.8,32.3,51
2023-01-01T12:00:00,12.8,75.66,22.3,87.7,85
2023-01-01T13:00:00,13.3,75.36,26.8,90,97
2023-01-01T14:00:00,13.1,76.26,21.6,99.7,83
2023-01-01T15:00:00,12.9,78.33,15,90.3,83
2023-01-01T16:00:00,12.6,81.32,15.5,90.6,26
2023-01-01T17:00:00,11.7,88.76,17.8,100,7
2023-01-01T18:00:00,11.1,93.24,14.4,100,0
2023-01-01T19:00:00,11,94.65,15.2,100,0
2023-01-01T20:00:00,10.8,95.4,14.4,100,0
2023-01-01T21:00:00,10.9,94.42,8.4,100,0
2023-01-01T22:00:00,11.8,89.1,22.1,90.6,0
2023-01-01T23:00:00,12.4,87.36,21.6,90.6,0
2023-01-02T00:00:00,13,80.12,23.9,100,0
2023-01-02T01:00:00,13.2,79.65,22.1,100,0
2023-01-02T02:00:00,13,83.73,28.3,100,0
2023-01-02T03:00:00,13.1,86.15,26.2,100,0
2023-01-02T04:00:00,12.6,90.09,27.9,100,0
2023-01-02T05:00:00,12.5,90.43,24.5,90.6,0
2023-01-02T06:00:00,10.4,93.25,12.6,100,0
2023-01-02T07:00:00,9.8,94.07,14.6,100,1
2023-01-02T08:00:00,9.2,90.88,11.6,100,0
2023-01-02T09:00:00,9,94.68,11,100,5
2023-01-02T10:00:00,8.9,95.39,8,90.3,14
